rounds,global_accuracy_mean,global_accuracy_std,global_accuracy_ci_low,global_accuracy_ci_high,global_f1_mean,global_f1_std,avg_nsds_mean,avg_nsds_std,avg_nsds_ci_low,avg_nsds_ci_high
1,0.9566666666666667,0.013333333333333336,0.9381570326320147,0.9751763007013187,0.9564632093216279,0.013511629234596822,0.0,0.0,,
2,0.9550000000000001,0.011303883305208791,0.939307694263763,0.9706923057362371,0.9547776070293141,0.011472492736179354,0.35197990521188044,0.05640451454810113,0.27367788604781373,0.43028192437594714
3,0.9550000000000001,0.011303883305208791,0.939307694263763,0.9706923057362371,0.9547776070293141,0.011472492736179354,0.34903180117633303,0.05028702164685263,0.2792222236231432,0.4188413787295229
4,0.9566666666666667,0.013333333333333336,0.9381570326320147,0.9751763007013187,0.9564632093216279,0.013511629234596822,0.3219240099815245,0.05191772139377071,0.24985065826314562,0.39399736169990335
5,0.9566666666666667,0.009718253158075516,0.9431755684607608,0.9701577648725725,0.9564831971463488,0.009851421887568055,0.32940730651975375,0.014423557966135217,0.3093841980624473,0.3494304149770602
6,0.9550000000000001,0.011303883305208791,0.939307694263763,0.9706923057362371,0.9547776070293141,0.011472492736179354,0.34403796304792256,0.03009729187815309,0.30225622369051874,0.38581970240532637
7,0.9566666666666667,0.013333333333333336,0.9381570326320147,0.9751763007013187,0.9564632093216279,0.013511629234596822,0.34072503605886606,0.03008676355400981,0.298957912358479,0.3824921597592531
8,0.9566666666666667,0.013333333333333336,0.9381570326320147,0.9751763007013187,0.9564632093216279,0.013511629234596822,0.34212129076552145,0.05605828149120069,0.2642999201394992,0.4199426613915437
9,0.9583333333333333,0.011785113019775797,0.9419729736543536,0.9746936930123129,0.9581687994386623,0.011926720210365309,0.3418689628266782,0.04901132190657125,0.2738303404232915,0.40990758523006493
10,0.9550000000000001,0.011303883305208791,0.939307694263763,0.9706923057362371,0.9547776070293141,0.011472492736179354,0.37480785714746556,0.04415606525562869,0.3135094115255731,0.436106302769358
