rounds,global_accuracy_mean,global_accuracy_std,global_accuracy_ci_low,global_accuracy_ci_high,global_f1_mean,global_f1_std,avg_nsds_mean,avg_nsds_std,avg_nsds_ci_low,avg_nsds_ci_high
1,0.945,0.015456030825826169,0.9235435894339242,0.9664564105660757,0.9447351654630696,0.01569081780301754,0.0,0.0,,
2,0.9433333333333331,0.01699673171197594,0.9197380870502952,0.966928579616371,0.9430890380294658,0.017268361394578997,0.19113612298894206,0.029251166967010835,0.15052899331550168,0.23174325266238244
3,0.945,0.015456030825826169,0.9235435894339242,0.9664564105660757,0.9447351654630696,0.01569081780301754,0.19313965897180063,0.029307479869904472,0.152454354456561,0.23382496348704027
4,0.945,0.015456030825826169,0.9235435894339242,0.9664564105660757,0.9447351654630696,0.01569081780301754,0.1915399590252141,0.027754897346830707,0.15300998458327636,0.23006993346715182
5,0.945,0.015456030825826169,0.9235435894339242,0.9664564105660757,0.9447351654630696,0.01569081780301754,0.1931574985356741,0.03372009525847607,0.1463465018220744,0.2399684952492738
6,0.945,0.015456030825826169,0.9235435894339242,0.9664564105660757,0.9447351654630696,0.01569081780301754,0.19063792177525674,0.036232065252808754,0.1403397516640727,0.24093609188644077
7,0.945,0.015456030825826169,0.9235435894339242,0.9664564105660757,0.9447351654630696,0.01569081780301754,0.18644041138601472,0.02625493034827919,0.1499927249596203,0.22288809781240915
8,0.9416666666666667,0.014907119849998594,0.9209722666966039,0.9623610666367294,0.9414031487023828,0.015167948166832378,0.1968181820831006,0.0317358582611014,0.15276174791895752,0.24087461624724366
9,0.945,0.015456030825826169,0.9235435894339242,0.9664564105660757,0.9447351654630696,0.01569081780301754,0.19275405024287637,0.02994800735431715,0.1511795510282156,0.23432854945753714
10,0.9433333333333331,0.013333333333333336,0.9248236992986811,0.9618429673679851,0.9430492761359867,0.013550737507902708,0.19262136006503308,0.02483196869870128,0.15814906109206603,0.22709365903800013
